Daily.Summary,Avg Temperature (Cº) by Type of Day,Avg Humidity by Type of Day,Avg Visibility by Type of Day
Partly cloudy starting overnight continuing until evening.,11.7694444439,0.69,11.40524
Partly cloudy starting overnight continuing until morning.,13.63194444375,0.6225,13.75745
Partly cloudy starting overnight continuing until night.,15.5571428557143,0.685714285714286,11.6288
Partly cloudy starting overnight.,14.1377192984211,0.683684210526316,12.9621947368421
Partly cloudy throughout the day and breezy in the evening.,16.11111111,0.87,15.134
Partly cloudy throughout the day and breezy starting in the afternoon continuing until evening.,15.0944444433333,0.736666666666667,14.1841
Partly cloudy throughout the day and breezy starting in the morning continuing until afternoon.,15.8851851861667,0.501666666666667,11.27805
Partly cloudy throughout the day and windy starting in the morning continuing until afternoon.,9.85,0.66,16.1
Partly cloudy throughout the day.,17.0790509259167,0.658541666666667,12.2658520833333
Partly cloudy until evening and breezy in the afternoon.,7.927777778,0.89,10.1752
Partly cloudy until evening and breezy in the morning.,-1.388888889,0.96,8.05
Partly cloudy until evening and breezy starting in the morning continuing until afternoon.,2.833333333,0.8,14.9569
Partly cloudy until evening and breezy starting in the morning continuing until evening.,16.208333335,0.36,12.9444
Partly cloudy until evening.,16.1302083329688,0.6265625,12.1092125
Partly cloudy until morning.,11.46111111275,0.615,13.866125
Partly cloudy until night and breezy starting in the morning continuing until afternoon.,4.4555555555,0.625,13.2986
Partly cloudy until night.,19.0292929290606,0.664545454545455,11.9222939393939
Rain until morning.,6.544444444,0.82,11.8979
